round,loss,accuracy,model_size_kb,shap_cosine_similarity
1,0.4985241265735816,0.7512437997765802,0.0,0.0
2,0.42270146480840237,0.7860696701268058,0.0,0.0
3,0.35679421496035446,0.8457711493197958,0.0,0.0
4,0.3029828998283367,0.8756218944022904,0.0,0.0
5,0.27423223067278885,0.8855721363380774,0.0,0.0
6,0.2620892575131127,0.8855721517581845,0.0,0.0
7,0.25113834403640595,0.8905472713916456,0.0,0.0
8,0.24695428635053968,0.875621908339695,0.0,0.0
9,0.24438346551721962,0.8905472820671043,0.0,0.0
